Functional Group,chemllm,gemma,gpt,llama,mistral,qwen
(Ar)N,55.14%,53.21%,59.00%,44.99%,41.13%,54.37%
"1,3-DICARB",57.14%,71.43%,85.71%,42.86%,42.86%,57.14%
Ar-N,52.14%,43.65%,70.64%,54.75%,39.18%,43.91%
"Ar-N, (Ar)N",52.00%,60.00%,68.00%,42.00%,60.00%,60.00%
Ar-OH,69.80%,76.05%,75.00%,76.79%,64.86%,63.13%
Ar-SH,75.00%,100.00%,100.00%,75.00%,75.00%,100.00%
CO2H,60.25%,68.58%,68.85%,63.44%,55.92%,58.52%
Csp3-NO2,55.56%,66.67%,61.11%,50.00%,55.56%,55.56%
N-OH,71.43%,95.24%,80.95%,71.43%,71.43%,80.95%
NH,61.00%,59.00%,69.00%,64.00%,60.00%,60.00%
OH,75.00%,62.50%,62.50%,75.00%,25.00%,50.00%
SH,83.33%,83.33%,83.33%,83.33%,66.67%,50.00%
amide,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%
amidine,33.33%,33.33%,66.67%,66.67%,55.56%,33.33%
amine,39.56%,44.05%,57.04%,54.96%,39.18%,44.71%
enamine,100.00%,100.00%,60.00%,20.00%,100.00%,80.00%
guanidine,28.57%,42.86%,71.43%,57.14%,14.29%,28.57%
imine,50.00%,100.00%,100.00%,50.00%,100.00%,50.00%
