Functional Group,chemllm,gemma,gpt,llama,mistral,qwen
(Ar)N,55.14% (429/778),53.21% (414/778),59.00% (459/778),44.99% (350/778),41.13% (320/778),54.37% (423/778)
"1,3-DICARB",57.14% (4/7),71.43% (5/7),85.71% (6/7),42.86% (3/7),42.86% (3/7),57.14% (4/7)
Ar-N,52.14% (817/1567),43.65% (684/1567),70.64% (1107/1567),54.75% (858/1567),39.18% (614/1567),43.91% (688/1567)
"Ar-N, (Ar)N",52.00% (26/50),60.00% (30/50),68.00% (34/50),42.00% (21/50),60.00% (30/50),60.00% (30/50)
Ar-OH,69.80% (1329/1904),76.05% (1448/1904),75.00% (1428/1904),76.79% (1462/1904),64.86% (1235/1904),63.13% (1202/1904)
Ar-SH,75.00% (3/4),100.00% (4/4),100.00% (4/4),75.00% (3/4),75.00% (3/4),100.00% (4/4)
CO2H,60.25% (1114/1849),68.58% (1268/1849),68.85% (1273/1849),63.44% (1173/1849),55.92% (1034/1849),58.52% (1082/1849)
Csp3-NO2,55.56% (10/18),66.67% (12/18),61.11% (11/18),50.00% (9/18),55.56% (10/18),55.56% (10/18)
N-OH,71.43% (15/21),95.24% (20/21),80.95% (17/21),71.43% (15/21),71.43% (15/21),80.95% (17/21)
NH,61.00% (61/100),59.00% (59/100),69.00% (69/100),64.00% (64/100),60.00% (60/100),60.00% (60/100)
OH,75.00% (6/8),62.50% (5/8),62.50% (5/8),75.00% (6/8),25.00% (2/8),50.00% (4/8)
SH,83.33% (5/6),83.33% (5/6),83.33% (5/6),83.33% (5/6),66.67% (4/6),50.00% (3/6)
amide,100.00% (1/1),0.00% (0/1),100.00% (1/1),100.00% (1/1),0.00% (0/1),0.00% (0/1)
amidine,33.33% (3/9),33.33% (3/9),66.67% (6/9),66.67% (6/9),55.56% (5/9),33.33% (3/9)
amine,39.56% (722/1825),44.05% (804/1825),57.04% (1041/1825),54.96% (1003/1825),39.18% (715/1825),44.71% (816/1825)
enamine,100.00% (5/5),100.00% (5/5),60.00% (3/5),20.00% (1/5),100.00% (5/5),80.00% (4/5)
guanidine,28.57% (2/7),42.86% (3/7),71.43% (5/7),57.14% (4/7),14.29% (1/7),28.57% (2/7)
imine,50.00% (1/2),100.00% (2/2),100.00% (2/2),50.00% (1/2),100.00% (2/2),50.00% (1/2)
